NAMA SALESMAN;USERNAME VIRTUSEE;STORE NAME;REFFERENCE CODE;STORE CODE;SPV GLICO;REGION;DISTRIBUTOR;DEPO;ACTUAL TVP;
MIX 1 PRT - BEBEN ;rangkasbitung1;ABCC ;MJP02RKBABCC9001;ABCC9001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;ALHIDAYAH;MJP02RKBALHI0002;ALHI0002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;AMAN, H;MJP02RKBAMAN0013;AMAN0013;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;ANYER, TK;MJP02RKBANYE0001;ANYE0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;ASOKA;MJP02RKBASOK0001;ASOK0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;DELIMA PLASTIK, TK;MJP02RKBDELI0001;DELI0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;ENI PLASTIK, TK;MJP02RKBENIP0002;ENIP0002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;FITRI FROZEN, TK;MJP02RKBFIFT9001;FIFT9001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;FITRIS;MJP02RKBFITR0012;FITR0012;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;IRMA;MJP02RKBIRMA0008;IRMA0008;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;IYUS;MJP02RKBIYUS0002;IYUS0002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;KHAIRIL;MJP02RKBKHAI9001;KHAI9001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;MAHKOTA FROZEN;MJP02RKBMAHK9001;MAHK9001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;MAKMUR;MJP02RKBMAKM0001;MAKM0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;MEI SIANG, TK;MJP02RKBMEIS0001;MEIS0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;MUHAMMAD ADITYA;MJP02RKBMUHA9005;MUHA9005;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;YANI PLASTIK;MJP02RKBYANI0011;YANI0011;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;YANTI, TK;MJP02RKBYANT0001;YANT0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;ACENG;MJP02RKBACEN0001;ACEN0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;ALI PLASTIK;MJP02RKBALIP9001;ALIP9001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;ANDI FROZEN;MJP02RKBANDI9002;ANDI9002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;APOTEK SEHAT TIRTAYASA;MJP02RKBAPOT9005;APOT9005;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;BROMO SARI;MJP02RKBBROM0002;BROM0002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;CITRA BARU TK;MJP02RKBCITR0005;CITR0005;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;ENDANG, TK;MJP02RKBENDA0005;ENDA0005;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;HBT PLASTIK, TK;MJP02RKBHBTP0002;HBTP0002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;KEYSHA ;MJP02RKBIJAH0006;IJAH0006;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;IRFAL / PARIAMAN SANTAN 2;MJP02RKBIRFA9002;IRFA9002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;KEISHA, TK;MJP02RKBKEIS0001;KEIS0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;LEO / PBS GROUP;MJP02RKBLEOT0004;LEOT0004;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;NISA;MJP02RKBNISA9002;NISA9002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;NOSTIMO CAKE, TK;MJP02RKBNOST0001;NOST0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;PT. TUNAS IMMANTA JAYA/ PUTRA BUNGSU;MJP02RKBPUTR0043;PUTR0043;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;RIZKY JAYA;MJP02RKBRIZK9008;RIZK9008;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;H. SADONI;MJP02RKBSADO9001;SADO9001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;TK.SALIM PLASTIK;MJP02RKBSALI9001;SALI9001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;SCORPIO;MJP02RKBSCOR9001;SCOR9001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;MG DUA;MJP02RKBSEMB9005;SEMB9005;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;SYUKUR;MJP02RKBSYUK0001;SYUK0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;YUSUF;MJP02RKBYUSU0005;YUSU0005;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;CITRA JAYA;MJP02RKBABAD0002;ABAD0002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;TK. ALMON;MJP02RKBALMO9001;ALMO9001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;ALMON SUPER;MJP02RKBALMO9002;ALMO9002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;DHEVA;MJP02RKBDHEV0001;DHEV0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;ERNA;MJP02RKBERNA0006;ERNA0006;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;ERNA PLASTIK;MJP02RKBERNA9004;ERNA9004;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;IKA, TK;MJP02RKBIKAT0004;IKAT0004;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;INDRA WIJAYA META;MJP02RKBINDR0001;INDR0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;INDRA WIJAYA II;MJP02RKBINDR0015;INDR0015;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;MGDUA, TK;MJP02RKBMGDU0001;MGDU0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;TK.SINAR META;MJP02RKBSINA9006;SINA9006;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;SUKA MAJU;MJP02RKBSUKA0010;SUKA0010;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;UNI;MJP02RKBUNIT9001;UNIT9001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;UTAMA;MJP02RKBUTAM0001;UTAM0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;BINTANG TERANG;MJP02RKBBINT0011;BINT0011;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;PD. BINTANG CAHAYA DELAPAN;MJP02RKBBINT9003;BINT9003;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;BINTANG CAHAYA LAPAN;MJP02RKBBINT9005;BINT9005;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;BLOK M PLASTIK;MJP02RKBBLOK0001;BLOK0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;BUNDA;MJP02RKBBUND0002;BUND0002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;BUNDA PLASTIK. TK;MJP02RKBBUND9001;BUND9001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;CITRA, TK;MJP02RKBCITR0003;CITR0003;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;OIK FROZEN;MJP02RKBFROZ9002;FROZ9002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;GUNUNG AGUNG;MJP02RKBGUNU0006;GUNU0006;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;HIDAYAT/ HANJUNG, TK;MJP02RKBHIDA0001;HIDA0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;ITA, TK;MJP02RKBITAT0001;ITAT0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;MAKMUR JAYA;MJP02RKBJAYA0004;JAYA0004;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;KOMAR;MJP02RKBKOMA0002;KOMA0002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;CV.METRO MAJU SEJAHTERA;MJP02RKBMETR0001;METR0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;SINAR BARU;MJP02RKBSINA0005;SINA0005;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;UTAMA PLASTIK;MJP02RKBUTAM0002;UTAM0002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;WIN ( METRO );MJP02RKBWINT9002;WINT9002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;AMIN 2;MJP02RKBAMIN0012;AMIN0012;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;ASEP ASNADI;MJP02RKBASEP9003;ASEP9003;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;AYAS;MJP02RKBAYAS9001;AYAS9001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;BEDI;MJP02RKBBEDI0001;BEDI0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;CAH BAGUS / EDI;MJP02RKBCAHB9001;CAHB9001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;FARISH;MJP02RKBFARI9002;FARI9002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;CICI FROZEN;MJP02RKBFROZ9006;FROZ9006;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;IW JAYA;MJP02RKBIWJA9001;IWJA9001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;MAJAPAHIT, TK;MJP02RKBMAJA0001;MAJA0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;MATARAM/MICHAEL HANDRATMO;MJP02RKBMATA0002;MATA0002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;MATARAM 2;MJP02RKBMATA9002;MATA9002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;NANA / ALYCIA MARGARETA;MJP02RKBNANA9004;NANA9004;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;PAK UUS;MJP02RKBPAKU9001;PAKU9001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;ABANG FAZRI;MJP02RKBPUTR0007;PUTR0007;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;SINAR RIZKY;MJP02RKBSINA0029;SINA0029;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;SUNDA;MJP02RKBSUND0001;SUND0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;BAGUS;MJP02RKBBAGU0009;BAGU0009;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;ENDIN, TK;MJP02RKBENDI0001;ENDI0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;HARAPAN PUTRA;MJP02RKBHARA0005;HARA0005;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;KHOLID/ ALI, TK;MJP02RKBKHOL0001;KHOL0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;PADRI NASUTION, TK;MJP02RKBPADR0001;PADR0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;PUTRA KEMBAR 2;MJP02RKBPUTR0040;PUTR0040;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;TK.RAJA POPOK;MJP02RKBRAJA9002;RAJA9002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;RIKA;MJP02RKBRIKA0004;RIKA0004;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;RUKUN ;MJP02RKBRUKU0003;RUKU0003;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;SENTOSA 3;MJP02RKBSENT0009;SENT0009;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;UMING, TK;MJP02RKBUMIN0001;UMIN0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;